hourly_dry_bulb_temp,item_name,item_count
36,"Drip Coffee",4
38,"Cappuccino, Unknown",3
39,Latte,1
40,Latte,2
42,"Cappuccino, Unknown",5
43,"Drip Coffee",4
44,Latte,4
45,"Drip Coffee",2
46,Latte,10
47,"Cappuccino, Unknown",8
48,Latte,12
49,"Drip Coffee",13
50,Latte,26
51,"Drip Coffee",27
52,"Drip Coffee",27
53,Latte,38
54,Latte,42
55,Latte,61
56,Latte,50
57,Latte,61
58,"Drip Coffee",98
59,Latte,157
60,Latte,131
61,Latte,179
62,"Drip Coffee",160
63,Latte,201
64,Latte,151
65,"New Orleans Iced Coffee (cup)",187
66,"New Orleans Iced Coffee (cup)",133
67,"New Orleans Iced Coffee (cup)",162
68,Latte,102
69,"New Orleans Iced Coffee (cup)",118
70,"New Orleans Iced Coffee (cup)",72
71,"New Orleans Iced Coffee (cup)",84
72,"New Orleans Iced Coffee (cup)",52
73,"New Orleans Iced Coffee (cup)",41
74,"New Orleans Iced Coffee (cup)",40
75,"New Orleans Iced Coffee (cup)",32
76,"Cappuccino, Unknown",18
77,"New Orleans Iced Coffee (cup)",15
78,"S.O. Iced - 4 oz Oji",8
79,"New Orleans Iced Coffee (cup)",19
80,"New Orleans Iced Coffee (cup)",23
81,"Drip Coffee",7
82,"New Orleans Iced Coffee (cup)",6
83,"New Orleans Iced Coffee (cup)",6
84,"New Orleans Iced Coffee (cup)",3
85,"New Orleans Iced Coffee (cup)",4
86,"S.O. Iced - 4 oz Oji",3
87,"New Orleans Iced Coffee (cup)",5
88,Latte,1
89,"Drip Coffee",3
90,"S.O. Iced Coffee",2
94,"S.O. Iced Coffee",1
95,"NOLA Carton",2
